stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
127N,127N,"Times Sq-42nd St",,40.758896,-73.985130,,,0,,,1
127S,127S,"Times Sq-42nd St",,40.758896,-73.985130,,,0,,,1
N12N,N12N,"Times Sq-42nd St",,40.758896,-73.985130,,,0,,,1
N12S,N12S,"Times Sq-42nd St",,40.758896,-73.985130,,,0,,,1
Q12N,Q12N,"Times Sq-42nd St",,40.758896,-73.985130,,,0,,,1
Q12S,Q12S,"Times Sq-42nd St",,40.758896,-73.985130,,,0,,,1
R12N,R12N,"Times Sq-42nd St",,40.758896,-73.985130,,,0,,,1
R12S,R12S,"Times Sq-42nd St",,40.758896,-73.985130,,,0,,,1
W12N,W12N,"Times Sq-42nd St",,40.758896,-73.985130,,,0,,,1
W12S,W12S,"Times Sq-42nd St",,40.758896,-73.985130,,,0,,,1
428N,428N,"Grand Central-42nd St",,40.751776,-73.976848,,,0,,,1
428S,428S,"Grand Central-42nd St",,40.751776,-73.976848,,,0,,,1
S42N,S42N,"Grand Central-42nd St",,40.751776,-73.976848,,,0,,,1
S42S,S42S,"Grand Central-42nd St",,40.751776,-73.976848,,,0,,,1
L14N,L14N,"Union Sq-14th St",,40.735736,-73.990568,,,0,,,1
L14S,L14S,"Union Sq-14th St",,40.735736,-73.990568,,,0,,,1
N14N,N14N,"Union Sq-14th St",,40.735736,-73.990568,,,0,,,1
N14S,N14S,"Union Sq-14th St",,40.735736,-73.990568,,,0,,,1
Q14N,Q14N,"Union Sq-14th St",,40.735736,-73.990568,,,0,,,1
Q14S,Q14S,"Union Sq-14th St",,40.735736,-73.990568,,,0,,,1
R14N,R14N,"Union Sq-14th St",,40.735736,-73.990568,,,0,,,1
R14S,R14S,"Union Sq-14th St",,40.735736,-73.990568,,,0,,,1
W14N,W14N,"Union Sq-14th St",,40.735736,-73.990568,,,0,,,1
W14S,W14S,"Union Sq-14th St",,40.735736,-73.990568,,,0,,,1
G21N,G21N,"Court Sq",,40.747846,-73.946000,,,0,,,1
G21S,G21S,"Court Sq",,40.747846,-73.946000,,,0,,,1
G22N,G22N,"21st St",,40.744149,-73.949704,,,0,,,1
G22S,G22S,"21st St",,40.744149,-73.949704,,,0,,,1
G24N,G24N,"Greenpoint Av",,40.731352,-73.954449,,,0,,,1
G24S,G24S,"Greenpoint Av",,40.731352,-73.954449,,,0,,,1
G26N,G26N,"Nassau Av",,40.724635,-73.951277,,,0,,,1
G26S,G26S,"Nassau Av",,40.724635,-73.951277,,,0,,,1
