service_id,date,exception_type
L0S1,20251005,1
L0S2,20251006,1
L0S3,20251007,1
L0S4,20251008,1
L0S5,20251009,1
L0S6,20251010,1
L0S7,20251011,1
L0S8,20251012,1
L0S9,20251013,1
L0S9 -1,20251012,1
L1S1,20251005,1
L1S2,20251006,1
L1S2 -1,20251005,1
L1S3,20251007,1
L1S4,20251008,1
L1S5,20251009,1
L1S6,20251010,1
L1S7,20251011,1
L1S8,20251013,1
L2S1,20251006,1
L2S2,20251007,1
L2S3,20251008,1
L2S4,20251009,1
L2S5,20251010,1
L3S1,20251006,1
L3S2,20251007,1
L3S3,20251008,1
L3S4,20251009,1
L3S5,20251010,1
L4S1,20251007,1
Saturday_C1,20251011,2
Sunday,20250901,1
Sunday_C6,20250901,1
Sunday_C6,20251005,2
Sunday_C6,20251012,2
Sunday_C7,20250901,1
Sunday_C7,20251005,2
Weekday,20250901,2
Weekday_C10,20250901,2
Weekday_C10,20251006,2
Weekday_C10,20251007,2
Weekday_C10,20251008,2
Weekday_C10,20251009,2
Weekday_C10,20251010,2
Weekday_C13,20250901,2
Weekday_C13,20251007,2
Weekday_C13,20251009,2
Weekday_C3,20250901,2
Weekday_C3,20251006,2
Weekday_C3,20251008,2
Weekday_C3,20251010,2
Weekday_C3,20251013,2
Weekday_C4,20250901,2
Weekday_C4,20251006,2
Weekday_C4,20251007,2
Weekday_C4,20251008,2
Weekday_C4,20251009,2
Weekday_C4,20251010,2
Weekday_C4,20251013,2
Weekday_C5,20250901,2
Weekday_C5,20251006,2
Weekday_C5,20251007,2
Weekday_C5,20251008,2
Weekday_C5,20251009,2
Weekday_C5,20251010,2
